FC0001,"Accumulator System, FPL Sheet, FPL"
FC0002,"Anti-Cockling Device, FPL Sheet, FPL"
FC0003,"Anvil Roll, 3TAB Shingle, 3 Tab Section"
FC0004,"Anvil Roll, Laminated Shingle, CTL"
FC0005,"Anvil Roll, Pattern Laminated Sheet, Laminate Section"
FC0006,"Anvil Roll, Slitted Laminated Sheet, CTL"
FC0007,"Applicator, Paint, Laminate Section"
FC0008,"Asphalt Applicator, Asphalt Laminated Sheet, Laminate Section"
FC0009,"Backsurfacing Applicator, Granuled Sheet, Slating System"
FC0010,"Backsurfacing Drum, Granuled Sheet, Slating System"
FC0011,"Blender, Granule Blend, Granule Application"
FC0012,"Blower, Air, Wrapper"
FC0013,"Box, Asphalt, Coater"
FC0014,"Brush Roll, FPL Sheet, Carry-over Systems"
FC0015,"Caliper Roll & Scraper, Coated Sheet, Coater"
FC0016,"Caliper Roll, Coated Sheet, Coater"
FC0017,"Carriage, Laminated Shingle, CTL"
FC0018,"Carriage, Slitted Laminated Sheet, CTL"
FC0019,"Carriage, Spliced Sheet, DMA"
FC0020,"Cat Walk, Sealed Sheet, 3 Tab Section"
FC0021,"Catcher System, 3TAB Shingle, 3 Tab Catcher"
FC0022,"Catwalk, 3TAB Shingle, 3 Tab Delivery System"
FC0023,"Catwalk, Cooling Section"
FC0024,"Catwalk, Fiberglass Sheet, DMA"
FC0025,"Catwalk, FPL"
FC0026,"Catwalk, Pattern Laminated Sheet, Laminate Section"
FC0027,"Coating Roll, Coated Sheet, Coater"
FC0028,"Combining Section, Asphalt Laminated Sheet, Laminate Section"
FC0029,"Compensator System, Asphalt, Coater"
FC0030,"Conveying System, Pattern Laminated Sheet, Laminate Section"
FC0031,"Conveyor Fan, Cooled Shingle Bundle, Wrapper"
FC0032,"Conveyor Gate, Palletized Bundle, Palletizer"
FC0033,"Conveyor, Acceleration Shingle Bundle, Wrapper"
FC0034,"Conveyor, Belt, Laminated Shingle, Laminate Catcher System"
FC0035,"Conveyor, Belt, Pallet, Palletizer"
FC0036,"Conveyor, Belt, Palletized Bundle, Palletizer"
FC0037,"Conveyor, Belt, Shingle Bundle, Palletizer"
FC0038,"Conveyor, Belt, Shingle Bundle, Wrapper"
FC0039,"Conveyor, Belt, Wrapped Shingle Bundle, Wrapper"
FC0040,"Conveyor, Granule Blend, Reclaim System"
FC0041,"Conveyor, Mesh, Sealed Shingle Bundle, Wrapper"
FC0042,"Conveyor, Roller, Belt, Palletized Bundle, Palletizer"
FC0043,"Conveyor, Roller, Shingle Bundle, Palletizer"
FC0044,"Conveyor, Roller, Wrapped Shingle Bundle, Wrapper"
FC0045,"Corner Conveyor, Roller, Shingle Bundle, Lug System"
FC0046,"Counterweight, Spliced Sheet, DMA"
FC0047,"Cutter Carriage, 3TAB Shingle, 3 Tab Section"
FC0048,"Cutter Carriage, Pattern Laminated Sheet, Laminate Section"
FC0049,"Cutter Frame, FPL Sheet, Laminate Section"
FC0050,"Cutter Frame, Sealed Sheet, 3 Tab Section"
FC0051,"Cutter, Cutted Film, Wrapper"
FC0052,"Cutting Cylinder, 3TAB Shingle, 3 Tab Section"
FC0053,"Cutting Cylinder, Laminated Shingle, CTL"
FC0054,"Cutting Cylinder, Pattern Laminated Sheet, Laminate Section"
FC0055,"Cutting Cylinder, Slitted Laminated Sheet, CTL"
FC0056,"Delivery Belt, Laminated Shingle, Laminate Delivery System"
FC0057,"Delivery Pump, Paint, Laminate Section"
FC0058,"Delivery Pump, Soap Water, Laminate Section"
FC0059,"Diverter Conveyor, Belt, Laminated Shingle, Laminate Catcher System"
FC0060,"Diverter, Granule Blend, Reclaim System"
FC0061,"Diverter, Laminated Shingle, Laminate Delivery System"
FC0062,"Dragon Tooth Lane, Pattern Laminated Sheet, Laminate Section"
FC0063,"Dragon Tooth Pull Roll, Pattern Laminated Sheet, Laminate Section"
FC0064,"Drive System, Spliced Sheet, DMA"
FC0065,"Drive, FPL Sheet, FPL"
FC0066,"Drop Plate, Laminated Shingle, Laminate Catcher System"
FC0067,"Drop Table System, 3TAB Shingle, 3 Tab Catcher"
FC0068,"Elevator, Granule Blend, Reclaim System"
FC0069,"Fan, Cooled Sheet, Cooling Section"
FC0070,"Flight Bar, Wrapped Shingle Bundle, Wrapper"
FC0071,"Forming Roll, FPL Sheet, FPL"
FC0072,"Frame System, Slitted Laminated Sheet, CTL"
FC0073,"Frame, Asphalt, Coater"
FC0074,"Frame, Coater"
FC0075,"Guide Roll, FPL Sheet, FPL"
FC0076,"Guide Roll, FPL Sheet, Laminate Section"
FC0077,"Guide Roll, Slitted Laminated Sheet, CTL"
FC0078,"Guide Roll, Spliced Sheet, DMA"
FC0079,"Hold Down Roll, FPL Sheet, Carry-over Systems"
FC0080,"Hydraulic Lift System, 3 Tab section"
FC0081,"Hydraulic Lift System, Pattern Laminated Sheet, Laminate Section"
FC0082,"Hydraulic System, Shingle Bundle, Palletizer"
FC0083,"Inspection Belt, 3TAB Shingle, 3 Tab Section"
FC0084,"Inspection Belt, Laminated Shingle, CTL"
FC0085,"Inspection Belt, Slitted Laminated Sheet, CTL"
FC0086,"Knife Blower, Cooled Sheet, Cooling Section"
FC0087,"Load Cell Roll, Cooled Sheet, Cooling Section"
FC0088,"Load Cell Roll, Granuled Sheet, Cooling Section"
FC0089,"Load Cell Roll, Spliced Sheet, Coater"
FC0090,"Load Cell Roll, Spliced Sheet, DMA"
FC0091,"Load Cell Shim Lane, Pattern Laminated Sheet, Laminate Section"
FC0092,"Loading Station, Palletized Bundle, Palletizer"
FC0093,"Lug Conveyor, Belt, Shingle Bundle, Lug System"
FC0094,"Lug Conveyor, Chain, Shingle Bundle, Lug System"
FC0095,"Lug Conveyor, Chain, Shingle Bundle, Palletizer"
FC0096,"Mandrel, Fiberglass Sheet, DMA"
FC0097,"Marriage Roll, Slitted Laminated Sheet, CTL"
FC0098,"Measuring Roll, FPL Sheet, Laminate Section"
FC0099,"Measuring Roll, Sealed Sheet, 3 Tab Section"
FC0100,"Measuring Roll, Slitted Laminated Sheet, CTL"
FC0101,"Metering Roll, Coated Sheet, Coater"
FC0102,"Mixing Tank, Paint, Laminate Section"
FC0103,"Mixing Tank, Soap Water, Laminate Section"
FC0104,"Oscillator, Granule, Granule Application"
FC0105,"Pallet Dispenser, Pallet, Palletizer"
FC0106,"Press Roll, Granuled Sheet, Cooling Section"
FC0107,"Printer, Printed Film, Wrapper"
FC0108,"Puddle Bar, Coated Sheet, Coater"
FC0109,"Pull Roll, FPL Sheet, Carry-over Systems"
FC0110,"Pull Roll, FPL Sheet, FPL"
FC0111,"Pull Roll, Sealed Laminated Sheet, Laminate Section"
FC0112,"Pull Roll, Sealed Sheet, Carry-over Systems"
FC0113,"Pull Roll, Spliced Sheet, DMA"
FC0114,"Pump, Soap Water, 3 Tab Section"
FC0115,"Return Piping, Asphalt, Coater"
FC0116,"Roll Enclosure, Granuled Sheet, Cooling Section"
FC0117,"Roll, Cooled Sheet, Cooling Section"
FC0118,"Roll, Film, Wrapper"
FC0119,"Roll, FPL Sheet, Carry-over Systems"
FC0120,"Roll, Granuled Sheet, Cooling Section"
FC0121,"Roll, Pattern Laminated Sheet, Laminate Section"
FC0122,"Roll, Spliced Sheet, Coater"
FC0123,"Roll, Spliced Sheet, DMA"
FC0124,"Scissor Lift, Shingle Bundle, Palletizer"
FC0125,"Scrap Diverter, 3TAB Shingle, 3 Tab Section"
FC0126,"Scrap Diverter, Laminated Shingle, CTL"
FC0127,"Scrap Diverter, Slitted Laminated Sheet, CTL"
FC0128,"Scraper, Coated Sheet, Coater"
FC0129,"Screw Conveyor, Granule Blend, Reclaim System"
FC0130,"Screw, Asphalt, Coater"
FC0131,"Sealant Applicator, Sealed Laminated Sheet, Laminate Section"
FC0132,"Separator, Granule Blend, Reclaim System"
FC0133,"Sheet Puller, FPL Sheet, FPL"
FC0134,"Slate Drum, Granuled Sheet, Slating System"
FC0135,"Soap Applicator, Sealed Laminated Sheet, Laminate Section"
FC0136,"Soap Piping System, Soap Water, Laminate Section"
FC0137,"Soap Tote, Soap Water, Laminate Section"
FC0138,"Spill Hopper, Granule Blend, Granule Application"
FC0139,"Splicing Machine, Spliced Sheet, DMA"
FC0140,"Splicing Table, Spliced Sheet, DMA"
FC0141,"Spray Bars, Cooled Sheet, Cooling Section"
FC0142,"Spray System, Water, Laminate Section"
FC0143,"Staging Conveyor, 3TAB Bundle, 3 Tab Bundle Handling"
FC0144,"Staging Conveyor, Laminate Bundle, Laminate Bundle Handling"
FC0145,"Staging Conveyor, Shingle Bundle, Lug System"
FC0146,"Storage Tank, Paint, Laminate Section"
FC0147,"Tank Agitator, Paint, Laminate Section"
FC0148,"Tank, Soap Water, 3 Tab Section"
FC0149,"Timing Conveyor, Belt, Laminate Bundle, Laminate Bundle Handling"
FC0150,"Timing Conveyor, Belt, 3TAB Bundle, 3 Tab Bundle Handling"
FC0151,"Timing Conveyor, Belt, Shingle Bundle, Lug System"
FC0152,"Transport Roll, Granuled Sheet, Slating System"
FC0153,"Tunnel, Sealed Shingle Bundle, Wrapper"
FC0154,"Turndown Roll, Granuled Sheet, Slating System"
FC0155,"Unwind Stand, Fiberglass Sheet, DMA"
FC0156,"Water Spray, Soap Water, 3 Tab Section"
FC0157,"Water Spray, Water, 3 Tab Section"
FC0158,"Water Spray, Water, CTL"
FC0159,"Weigh Scale, Granule Blend, Reclaim System"
FC0160,Winding Core Dispenser (Table)
FC0161,Winding Roll Receiving Table (Lifts to Extract Roll)
,
