route,description
B0001D1PPMO,"Pipe(Hydraulic) Inspection - B1433 - Amine Expansion Vessel
Filter(Liquid) Inspection - B1437 - Amine Piping System
Pipe(Hydraulic) Inspection - B1441 - Acetate Expansion Vessel (Potassium)
Pipe(Hydraulic) Inspection - B1444 - Acetate Piping System (Potassium)"
B0001D1PPMO1,Gauge(Pressure) Inspection
B0001M1PDMM,Inspect Valve(Hand)
B0001M1PDMM1,Valve (Check) Inspection
B0001M1PPME,Inspect Motor(AC)
B0001M1PPMM,"Inspect Arm(Torque) - B1105 - Polyol Unloading Pump
Inspect Arm(Torque) - B1115 - Polyol Tanks Transfer Pump
Inspect Pump for Leaks & Bad Noise - B1803 - Polyol Mix Dynamic Mixer
Inspect Arm(Torque) - B1805 - Polyol Mix Delivery Pump
Inspect Arm(Torque) - B1820 - Polyol Mix Metering Pump 1
Inspect Arm(Torque) - B1822 - Polyol Mix Metering Pump 2
Inspect Arm(Torque) - B1824 - Polyol Mix Metering Pump 3"
B0001M1PPMM1,Inspect Guard
B0001M1PPMM2,Diaphragm Pump Inspection
B0001M3HKGM,Pump Cleaning
B0001M3HKGM1,Valve(Hand) Cleaning
B0001M3PPME,Inspect Motor(AC) 1
B0001M3PPME1,Inspect Sensor(Level)
B0001M3PPMM,Inspect Hose(Pneumatic)
B0001M3PPMM1,Inspect Valve
B0001M3PPMM2,Inspect Valve(Hand)
B0001M3PPMM3,Inspect Coupling
B0001M3PPMM4,Valve(Hand) Cleaning
B0001M3PPMO,Inspect Valve(Ball/Butterfly/Globe)
B0001M6HKGO,Sensor(Level) Cleaning
B0001M6PPMM,Inspect Valve(Flow Control) 1
B0001M6PPMM1,Sensor(Level) Cleaning
B0001W1PPMO,GearBox Inspection
B0001W1PPMO1,Valve(Hand) Inspection
B0001Y1LC1M,Inspect Valve(Pressure Relief/Safety)
B0001Y1LUBM,Inspect Oil(Gearbox)
B0001Y1PPME,Inspect Motor(AC) 2
B0001Y1PPMM,"Inspect Valve(Flow Control) - B1110 - Polyol Storage Tank 1
Valve(Vacuum Relief) Inspection - B1110 - Polyol Storage Tank 1
Inspect Valve(Flow Control) - B1114 - Polyol Storage Tank 2
Inspect Valve(Flow Control) - B1135 - Polyol Heat Exchanger
Inspect Valve(Flow Control) - B1140 - Polyol Piping System
Inspect Valve(Flow Control) - B1813 - Polyol Mix Heat Exchanger 1
Inspect Valve(Flow Control) - B1815 - Polyol Mix Heat Exchanger 2
Inspect Valve(Flow Control) - B1817 - Polyol Mix Heat Exchanger 3
Inspect Valve(Flow Control) - B1827 - Polyol Mix Piping System"
B0001Y1PPMM1,Inspect Heater(Electric)
B0001Y1PPMM2,Oil(Gearbox) Inspection
B1000M1PDME,"Inspect Winding(AC) - B1005 - MDI Unloading Pump
Inspect Junction Box - B1040 - MDI Tanks Transfer Pump
Inspect Junction Box - B1050 - MDI Heat Exchanger
Inspect Junction Box - B1054 - MDI Metering Heat Exchanger 1
Inspect Junction Box - B1055 - MDI Metering Heat Exchanger 2
Inspect Junction Box - B1056 - MDI Metering Heat Exchanger 3"
B1000M3PPME,"Inspect Fan(Motor) - B1005 - MDI Unloading Pump
CLEANING - B1040 - MDI Tanks Transfer Pump
Inspect Junction Box - B1050 - MDI Heat Exchanger
Inspect Power Cable - B1054 - MDI Metering Heat Exchanger 1
Inspect Power Cable - B1055 - MDI Metering Heat Exchanger 2
Inspect Power Cable - B1056 - MDI Metering Heat Exchanger 3"
B1000M3PPME1,Inspect Sensor(Level)
B1000M3PPMM,Inspect Coupling
B1000M3PPMM1,Inspect Bolt
B1000M3PPMM2,Inspect Bolt
B1000M3PPMM3,"Inspect Oil(Gearbox) - B1005 - MDI Unloading Pump
Inspect Oil (Gearbox) - B1040 - MDI Tanks Transfer Pump"
B1000M3PPMM4,Impeller Inspection
B1000M3PPMM5,Inspect Hose(Pneumatic)
B1000Y1HKGM,Tank (Body) Cleaning
B1000Y1LC1M,Inspect Valve(Pressure Relief/Safety Asphalt)
B1000Y1PPMM,Inspect Valve(Flow Control)
B1000Y1PPMM1,"Inspect Tank (Body) - B1010 - MDI Storage Tank 1
Inspect Tank(Body) - B1013 - MDI Storage Tank 2"
B1000Y1PPMM2,Valve(Vacuum Relief) Inspection
B1000Y1PPMM3,Inspect Heater(Electric)
B1100M3PPME,Inspect Sensor(Thermo)
B1200D1PPMO,"Pipe(Fluid) Inspection - B1215 - Octoate Storage Tank (Potassium)
Filter(Liquid) Inspection - B1230 - Octoate Piping System (Potassium)
Gauge(Pressure) Inspection - B1230 - Octoate Piping System (Potassium)"
B1200D1PPMO1,Packing Seal Inspection
B1200M1PPME1,Octoate Tank Transfer Pump Motor(AC) Inspection
B1200M1PPMM,"Octoate Tank Transfer Pump Casing Inspection - B1216 - Octoate Tank Transfer Pump (Potassium)
Octoate Tank Transfer Pump Gearbox Inspection - B1216 - Octoate Tank Transfer Pump (Potassium)
Octoate Tank Transfer Pump Rotor (Pump) Inspection - B1225 - Octoate Metering Pump (Potassium)
Octoate Pump(Metering) Inspection - B1225 - Octoate Metering Pump (Potassium)"
B1200M3PPME1,Motor(AC) Inspection
B1200M3PPMM,"Octoate Unloading, Transfer and Metering Pump Screen Inspection"
B1200M3PPMM1,Valve(Hand) Inspection
B1200M3PPMM2,Valve(Pressure Relief/Safety) Inspection
B1200M3PPMO,Pipe Fluid Inspection
B1200M3PPMO3,Valve(Hand) Cleaning
B1200M3PPMO4,"Octoate Unloading, Transfer and Metering Pump Screen Cleaning"
B1200M3PPMO5,Pump Casing Cleaning
B1200M3PPMO7,Octoate Transfer and Metering Pump & Piping System Bolt Inspection
B1200W1PPMO,Valve(Hand) Inspection
B1200W1PPMO1,Bearing Inspection
B1200Y1PPME,Motor(AC) Inspection
B1300M1PPME,Inspect Motor(AC)
B1300M1PPMM,"Inspect GearBox - B1316 - Flame Retardant Tank Transfer Pump
Inspect Bearing - B1316 - Flame Retardant Tank Transfer Pump
Inspect GearBox - B1325 - Flame Retardant Metering Pump
Inspect Bearing - B1325 - Flame Retardant Metering Pump"
B1300M3HKGM,"Pump Casing Cleaning - B1316 - Flame Retardant Tank Transfer Pump
Inspect Coupling - B1316 - Flame Retardant Tank Transfer Pump
Pump Casing Cleaning - B1325 - Flame Retardant Metering Pump
Inspect Coupling - B1325 - Flame Retardant Metering Pump"
B1300M3HKGM1,"Valve(Hand) Cleaning - B1303 - Flame Retardant Unloading Station (Truck)
Inspect Valve(Hand) - B1303 - Flame Retardant Unloading Station (Truck)
Valve(Hand) Cleaning - B1316 - Flame Retardant Tank Transfer Pump
Inspect Valve(Hand) - B1316 - Flame Retardant Tank Transfer Pump
Valve(Hand) Cleaning - B1305 - Flame Retardant Unloading Pump
Inspect Valve(Hand) - B1305 - Flame Retardant Unloading Pump
Valve(Hand) Cleaning - B1325 - Flame Retardant Metering Pump
Inspect Valve(Hand) - B1325 - Flame Retardant Metering Pump
Valve(Hand) Cleaning - B1330 - Flame Retardant Piping System
Inspect Valve(Hand) - B1330 - Flame Retardant Piping System"
B1300M3PPME,Motor(AC) Inspection
B1300M3PPMM,Guard Inspection
B1300M3PPMM1,Arm(Torque) Inspection
B1300Y1PPME,Motor(AC) Inspection
B1300Y1PPMM,Oil(Gearbox) Inspection
B1300Y1PPMM1,Valve(Pressure Relief/Safety) Inspection
B1600M1PDMM,"Motor (AC) Bearing Inspection - B1615 - Pentane Tank Transfer Pump 1
Pump (Centrifugal) Bearing Inspection - B1615 - Pentane Tank Transfer Pump 1
Gearbox Bearing Inspection - B1615 - Pentane Tank Transfer Pump 1
Coupling Inspection - B1615 - Pentane Tank Transfer Pump 1
Motor (AC) Bearing Inspection - B1617 - Pentane Tank Transfer Pump 2
Pump (Centrifugal) Bearing Inspection - B1617 - Pentane Tank Transfer Pump 2
Gearbox Bearing Inspection - B1617 - Pentane Tank Transfer Pump 2
Coupling Inspection - B1617 - Pentane Tank Transfer Pump 2"
B1600M1PDMM1,"Motor (AC) Bearing Inspection - B1642 - Pentane Metering Tri-pump 1
Gearbox Bearing Inspection - B1642 - Pentane Metering Tri-pump 1
Motor (AC) Bearing Inspection - B1643 - Pentane Metering Tri-pump 2
Gearbox Bearing Inspection - B1643 - Pentane Metering Tri-pump 2
Motor (AC) Bearing Inspection - B1644 - Pentane Metering Tri-pump 3
Gearbox Bearing Inspection - B1644 - Pentane Metering Tri-pump 3"
B1600M1PPMM,Inspect Oil(Gearbox)
B1600M2PDMM,"Pump (Centrifugal) Valve Inspection - B1615 - Pentane Tank Transfer Pump 1
Hand Valve Inspection - B1615 - Pentane Tank Transfer Pump 1
Pump (Centrifugal) Valve Inspection - B1617 - Pentane Tank Transfer Pump 2
Hand Valve Inspection - B1617 - Pentane Tank Transfer Pump 2"
B1600M3PPME,"Inspect Fan(Motor) - B1615 - Pentane Tank Transfer Pump 1
Inspect Power Cable - B1615 - Pentane Tank Transfer Pump 1
Inspect Junction Box - B1615 - Pentane Tank Transfer Pump 1
Inspect Fan(Motor) - B1617 - Pentane Tank Transfer Pump 2
Inspect Power Cable - B1617 - Pentane Tank Transfer Pump 2
Inspect Junction Box - B1617 - Pentane Tank Transfer Pump 2"
B1600M3PPMM,"Inspect Bolt - B1615 - Pentane Tank Transfer Pump 1
Inspect Coupling - B1615 - Pentane Tank Transfer Pump 1
Inspect Valve - B1615 - Pentane Tank Transfer Pump 1
Inspect Valve(Hand) - B1615 - Pentane Tank Transfer Pump 1
Inspect Bolt - B1617 - Pentane Tank Transfer Pump 2
Inspect Coupling - B1617 - Pentane Tank Transfer Pump 2
Inspect Valve - B1617 - Pentane Tank Transfer Pump 2
Inspect Valve(Hand) - B1617 - Pentane Tank Transfer Pump 2
Inspect Bolt - B1635 - Pentane Heat Exchanger
Inspect Coupling - B1635 - Pentane Heat Exchanger
Inspect Valve - B1635 - Pentane Heat Exchanger
Inspect Valve(Hand) - B1635 - Pentane Heat Exchanger"
B1600M3PPMM1,"Inspect Fan(Motor) - B1627 - Pentane Sump Pump
Inspect Power Cable - B1627 - Pentane Sump Pump
Inspect Junction Box - B1627 - Pentane Sump Pump
Inspect Brush(Commutator) - B1627 - Pentane Sump Pump
Inspect Fan(Motor) - B1642 - Pentane Metering Tri-pump 1
Inspect Power Cable - B1642 - Pentane Metering Tri-pump 1
Inspect Junction Box - B1642 - Pentane Metering Tri-pump 1
Inspect Brush(Commutator) - B1642 - Pentane Metering Tri-pump 1
Inspect Fan(Motor) - B1643 - Pentane Metering Tri-pump 2
Inspect Power Cable - B1643 - Pentane Metering Tri-pump 2
Inspect Junction Box - B1643 - Pentane Metering Tri-pump 2
Inspect Brush(Commutator) - B1643 - Pentane Metering Tri-pump 2
Inspect Fan(Motor) - B1644 - Pentane Metering Tri-pump 3
Inspect Power Cable - B1644 - Pentane Metering Tri-pump 3
Inspect Junction Box - B1644 - Pentane Metering Tri-pump 3
Inspect Brush(Commutator) - B1644 - Pentane Metering Tri-pump 3"
B1600M3PPMM2,Inspect Bolt
B1600Y1PPME,"Inspect Encoder - B1615 - Pentane Tank Transfer Pump 1
Inspect Winding(AC) - B1615 - Pentane Tank Transfer Pump 1
Inspect Encoder - B1617 - Pentane Tank Transfer Pump 2
Inspect Winding(AC) - B1617 - Pentane Tank Transfer Pump 2
Inspect Encoder - B1642 - Pentane Metering Tri-pump 1
Inspect Winding(AC) - B1642 - Pentane Metering Tri-pump 1
Inspect Encoder - B1643 - Pentane Metering Tri-pump 2
Inspect Winding(AC) - B1643 - Pentane Metering Tri-pump 2
Inspect Encoder - B1644 - Pentane Metering Tri-pump 3
Inspect Winding(AC) - B1644 - Pentane Metering Tri-pump 3"
B1600Y1PPMM,"Flow Switch Inspection - B1615 - Pentane Tank Transfer Pump 1
Flow Control Valve Inspection - B1615 - Pentane Tank Transfer Pump 1
Flow Switch Inspection - B1617 - Pentane Tank Transfer Pump 2
Flow Control Valve Inspection - B1617 - Pentane Tank Transfer Pump 2"
B1600Y1PPMM1,Pressure Relief/Safety Valve Inspection
B1800M3HKGM,Pump Casing Cleaning
B3000D1PPMO,Packing Seal Inspection
B3000M1PPMM,Cylinder(Air) Inspection
B3000M1PPMM1,Knife Inspection
B3000M1PPMM2,Fan Inspection
B3000M1PPMM3,Brake Cylinder(Air) Inspection
B3000M1PPMO1,Pump Casing Inspection
B3000M3PPMO,Pump Casing Cleaning
B3000W1PPMO,Knife Cleaning
B3000W1PPMO1,Guide Cleaning
B3200M3PPMM,Pour Table Bolt Inspection
B3200M3PPMM1,Injector Inspection
B3200W1PPMO,"Mixhead Cleaning - B3220 - Pouring Table Application Gun 1 (Mix Head)
Injector Inspection - B3220 - Pouring Table Application Gun 1 (Mix Head)
Mixhead Cleaning - B3221 - Pouring Table Application Gun 2 (Mix Head)
Injector Inspection - B3221 - Pouring Table Application Gun 2 (Mix Head)
Mixhead Cleaning - B3222 - Pouring Table Application Gun 3 (Mix Head)
Injector Inspection - B3222 - Pouring Table Application Gun 3 (Mix Head)"
C1050W4SAFM,"Crane & Hoist Inspection - C1141 - Crane 1 (TPO,Scrim,3 Ton)
Spreader Beam - C1141 - Crane 1 (TPO,Scrim,3 Ton)
Crane & Hoist Inspection - C1142 - Crane 2 (TPO,10 Ton)
Spreader Beam - C1142 - Crane 2 (TPO,10 Ton)
Crane & Hoist Inspection - C1143 - Crane 3 (ISO,Facer)
Spreader Beam - C1143 - Crane 3 (ISO,Facer)
Crane & Hoist Inspection - C1161 - Hoist 1 (TPO,Top Extruder)
Spreader Beam - C1161 - Hoist 1 (TPO,Top Extruder)
Crane & Hoist Inspection - C1162 - Hoist 2 (TPO,Bottom Extruder)
Spreader Beam - C1162 - Hoist 2 (TPO,Bottom Extruder)
Crane & Hoist Inspection - C1163 - Hoist 3 (TPO,Top Weathering Package)
Spreader Beam - C1163 - Hoist 3 (TPO,Top Weathering Package)
Crane & Hoist Inspection - C1164 - Hoist 4 (TPO,Bottom Weathering Package)
Spreader Beam - C1164 - Hoist 4 (TPO,Bottom Weathering Package)
Crane & Hoist Inspection - C1165 - Hoist 5 (TPO,MgOH2 Spare)
Spreader Beam - C1165 - Hoist 5 (TPO,MgOH2 Spare)
Crane & Hoist Inspection - C1166 - Hoist 6 (ISO,MSK)
Spreader Beam - C1166 - Hoist 6 (ISO,MSK)"
C1660M2PDMM,SDT Route
C3001Y2SAFM,"Contact - C3040 - Compressed Air Receiver Tank 1 (400 GAL)
Inspect - C3040 - Compressed Air Receiver Tank 1 (400 GAL)
Document - C3040 - Compressed Air Receiver Tank 1 (400 GAL)
Display & Document - C3040 - Compressed Air Receiver Tank 1 (400 GAL)
Contact - C3057 - Compressed Air Receiver Tank 2 (1500 GAL)
Inspect - C3057 - Compressed Air Receiver Tank 2 (1500 GAL)
Document - C3057 - Compressed Air Receiver Tank 2 (1500 GAL)
Display & Document - C3057 - Compressed Air Receiver Tank 2 (1500 GAL)"
C3500M3PPMM,"Contact - C3502 - Forklift 1 (Yale)
Notify - C3502 - Forklift 1 (Yale)
Document - C3502 - Forklift 1 (Yale)
Contact - C3503 - Forklift 2 (Combi)
Notify - C3503 - Forklift 2 (Combi)
Document - C3503 - Forklift 2 (Combi)
Contact - C3504 - Forklift 3 (Combi)
Notify - C3504 - Forklift 3 (Combi)
Document - C3504 - Forklift 3 (Combi)
Contact - C3505 - Forklift 4 (Yale)
Notify - C3505 - Forklift 4 (Yale)
Document - C3505 - Forklift 4 (Yale)
Contact - C3506 - Forklift 5 (Yale)
Notify - C3506 - Forklift 5 (Yale)
Document - C3506 - Forklift 5 (Yale)
Contact - C4000 - Scissor Lift (Skyjack)
Notify - C4000 - Scissor Lift (Skyjack)
Document - C4000 - Scissor Lift (Skyjack)
Contact - C4012 - Boom Lift (Genie)
Notify - C4012 - Boom Lift (Genie)
Document - C4012 - Boom Lift (Genie)
Contact - C4025 - Shaft Lifter (Schlumpf)
Notify - C4025 - Shaft Lifter (Schlumpf)
Document - C4025 - Shaft Lifter (Schlumpf)"
C3500M6PPMM,"Contact - C3502 - Forklift 1 (Yale)
Notify - C3502 - Forklift 1 (Yale)
Document - C3502 - Forklift 1 (Yale)
Contact - C3503 - Forklift 2 (Combi)
Notify - C3503 - Forklift 2 (Combi)
Document - C3503 - Forklift 2 (Combi)
Contact - C3504 - Forklift 3 (Combi)
Notify - C3504 - Forklift 3 (Combi)
Document - C3504 - Forklift 3 (Combi)
Contact - C3505 - Forklift 4 (Yale)
Notify - C3505 - Forklift 4 (Yale)
Document - C3505 - Forklift 4 (Yale)
Contact - C3506 - Forklift 5 (Yale)
Notify - C3506 - Forklift 5 (Yale)
Document - C3506 - Forklift 5 (Yale)
Contact - C4000 - Scissor Lift (Skyjack)
Notify - C4000 - Scissor Lift (Skyjack)
Document - C4000 - Scissor Lift (Skyjack)
Contact - C4012 - Boom Lift (Genie)
Notify - C4012 - Boom Lift (Genie)
Document - C4012 - Boom Lift (Genie)
Contact - C4025 - Shaft Lifter (Schlumpf)
Notify - C4025 - Shaft Lifter (Schlumpf)
Document - C4025 - Shaft Lifter (Schlumpf)"
C3500Y1PPMM,"Contact - C3502 - Forklift 1 (Yale)
Notify - C3502 - Forklift 1 (Yale)
Document - C3502 - Forklift 1 (Yale)
Contact - C3503 - Forklift 2 (Combi)
Notify - C3503 - Forklift 2 (Combi)
Document - C3503 - Forklift 2 (Combi)
Contact - C3504 - Forklift 3 (Combi)
Notify - C3504 - Forklift 3 (Combi)
Document - C3504 - Forklift 3 (Combi)
Contact - C3505 - Forklift 4 (Yale)
Notify - C3505 - Forklift 4 (Yale)
Document - C3505 - Forklift 4 (Yale)
Contact - C3506 - Forklift 5 (Yale)
Notify - C3506 - Forklift 5 (Yale)
Document - C3506 - Forklift 5 (Yale)
Contact - C4000 - Scissor Lift (Skyjack)
Notify - C4000 - Scissor Lift (Skyjack)
Document - C4000 - Scissor Lift (Skyjack)
Contact - C4012 - Boom Lift (Genie)
Notify - C4012 - Boom Lift (Genie)
Document - C4012 - Boom Lift (Genie)
Contact - C4025 - Shaft Lifter (Schlumpf)
Notify - C4025 - Shaft Lifter (Schlumpf)
Document - C4025 - Shaft Lifter (Schlumpf)"
FNM001M3HKGE,Fan Motor Inspection
GBX001Y1LUBM,Inspect Gearbox Oil
H3075M3SAFO,"Switch Testing - H3076 - Sprinkler Fire System Pump Room
Siamese Connection - H3076 - Sprinkler Fire System Pump Room
Function test Water Motor Alarm - H3076 - Sprinkler Fire System Pump Room
Main Drain Test - H3076 - Sprinkler Fire System Pump Room
Inspection Documentation - H3076 - Sprinkler Fire System Pump Room
Switch Testing - H3077 - Sprinkler Fire System Pump (Diesel)
Siamese Connection - H3077 - Sprinkler Fire System Pump (Diesel)
Function test Water Motor Alarm - H3077 - Sprinkler Fire System Pump (Diesel)
Main Drain Test - H3077 - Sprinkler Fire System Pump (Diesel)
Inspection Documentation - H3077 - Sprinkler Fire System Pump (Diesel)
Switch Testing - H3083 - Sprinkler Fire System Pump Controller
Siamese Connection - H3083 - Sprinkler Fire System Pump Controller
Function test Water Motor Alarm - H3083 - Sprinkler Fire System Pump Controller
Main Drain Test - H3083 - Sprinkler Fire System Pump Controller
Inspection Documentation - H3083 - Sprinkler Fire System Pump Controller
Switch Testing - H3091 - Sprinkler Fire System Piping and Valve System
Siamese Connection - H3091 - Sprinkler Fire System Piping and Valve System
Function test Water Motor Alarm - H3091 - Sprinkler Fire System Piping and Valve System
Main Drain Test - H3091 - Sprinkler Fire System Piping and Valve System
Inspection Documentation - H3091 - Sprinkler Fire System Piping and Valve System"
H3075Y1SAFO,"Wet Fire Sprinkler System - H3076 - Sprinkler Fire System Pump Room
Siamese Connection - H3076 - Sprinkler Fire System Pump Room
Pipe Inspection - H3076 - Sprinkler Fire System Pump Room
FunctionTest - H3076 - Sprinkler Fire System Pump Room
Main Drain Test - H3076 - Sprinkler Fire System Pump Room
Control Valve Operation - H3076 - Sprinkler Fire System Pump Room
Lubricate OS&Y Valve - H3076 - Sprinkler Fire System Pump Room
Inspection Documentation - H3076 - Sprinkler Fire System Pump Room
Wet Fire Sprinkler System - H3077 - Sprinkler Fire System Pump (Diesel)
Siamese Connection - H3077 - Sprinkler Fire System Pump (Diesel)
Pipe Inspection - H3077 - Sprinkler Fire System Pump (Diesel)
FunctionTest - H3077 - Sprinkler Fire System Pump (Diesel)
Main Drain Test - H3077 - Sprinkler Fire System Pump (Diesel)
Control Valve Operation - H3077 - Sprinkler Fire System Pump (Diesel)
Lubricate OS&Y Valve - H3077 - Sprinkler Fire System Pump (Diesel)
Inspection Documentation - H3077 - Sprinkler Fire System Pump (Diesel)
Wet Fire Sprinkler System - H3083 - Sprinkler Fire System Pump Controller
Siamese Connection - H3083 - Sprinkler Fire System Pump Controller
Pipe Inspection - H3083 - Sprinkler Fire System Pump Controller
FunctionTest - H3083 - Sprinkler Fire System Pump Controller
Main Drain Test - H3083 - Sprinkler Fire System Pump Controller
Control Valve Operation - H3083 - Sprinkler Fire System Pump Controller
Lubricate OS&Y Valve - H3083 - Sprinkler Fire System Pump Controller
Inspection Documentation - H3083 - Sprinkler Fire System Pump Controller
Wet Fire Sprinkler System - H3091 - Sprinkler Fire System Piping and Valve System
Siamese Connection - H3091 - Sprinkler Fire System Piping and Valve System
Pipe Inspection - H3091 - Sprinkler Fire System Piping and Valve System
FunctionTest - H3091 - Sprinkler Fire System Piping and Valve System
Main Drain Test - H3091 - Sprinkler Fire System Piping and Valve System
Control Valve Operation - H3091 - Sprinkler Fire System Piping and Valve System
Lubricate OS&Y Valve - H3091 - Sprinkler Fire System Piping and Valve System
Inspection Documentation - H3091 - Sprinkler Fire System Piping and Valve System"
HVL001M3HKGM,Hand Valve Inspection
IMP001M3PDMM,Impeller Inspection
JBX001M3PDME,Junction Box Inspection
T0001M1LUBM,BEARING INSPECTION
T0001M1LUBM1,BEARING INSPECTION
T0001M1LUBM2,Inspect Bearing
T0001M1LUBM3,Inspect Bearing
T0001M1LUBM4,Inspect Bearing
T0001M1PDME,"Inspect Winding(AC) - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Winding (AC) - T1130 - Flame Retardant Silo
Inspect Winding(AC) - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Winding(AC) - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Winding(AC) - T1525 - Bottom Weathering Package Bucket Elevator"
T0001M1PDME1,WINDING (AC) INSPECTION
T0001M1PDMM,"Inspect Bearing - T1130 - Flame Retardant Silo
Inspect Screw Flight - T1130 - Flame Retardant Silo
Inspect Bearing - T1545 - Top Weathering Package Bulk Bag Loading System
Inspect Screw Flight - T1545 - Top Weathering Package Bulk Bag Loading System"
T0001M1PDMM1,"Inspect Bearing - T1130 - Flame Retardant Silo
Inspect Coupling - T1130 - Flame Retardant Silo
Inspect Bearing - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Coupling - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Bearing - T1545 - Top Weathering Package Bulk Bag Loading System
Inspect Coupling - T1545 - Top Weathering Package Bulk Bag Loading System
Inspect Bearing - T1565 - Top Weathering Package Bucket Elevator
Inspect Coupling - T1565 - Top Weathering Package Bucket Elevator"
T0001M1PDMM2,"Inspect Coupling - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Bearing - T1130 - Flame Retardant Silo
Inspect Coupling - T1130 - Flame Retardant Silo
Inspect Bearing - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Coupling - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Bearing - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Coupling - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Bearing - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Coupling - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Bearing - T1565 - Top Weathering Package Bucket Elevator
Inspect Coupling - T1565 - Top Weathering Package Bucket Elevator"
