route,description
T0001M1PDMM3,"BEARING INSPECTION - T1020 - Resin Vacuum Blower (Rail to Receiver)
COUPLING INSPECTION - T1020 - Resin Vacuum Blower (Rail to Receiver)
BEARING INSPECTION - T1030 - Resin Receiver
COUPLING INSPECTION - T1030 - Resin Receiver
BEARING INSPECTION - T1033 - Resin Receiver Rotary Airlock
COUPLING INSPECTION - T1033 - Resin Receiver Rotary Airlock
BEARING INSPECTION - T1043 - Resin Pressure Blower (Receiver to Silos)
COUPLING INSPECTION - T1043 - Resin Pressure Blower (Receiver to Silos)
BEARING INSPECTION - T1053 - Resin Silo 1
COUPLING INSPECTION - T1053 - Resin Silo 1
BEARING INSPECTION - T1056 - Resin Silo 2
COUPLING INSPECTION - T1056 - Resin Silo 2
BEARING INSPECTION - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
COUPLING INSPECTION - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
BEARING INSPECTION - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
COUPLING INSPECTION - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
BEARING INSPECTION - T3227 - Bottom Extrusion Thickness Monitoring System
COUPLING INSPECTION - T3227 - Bottom Extrusion Thickness Monitoring System
BEARING INSPECTION - T3299 - Top Extrusion Thickness Monitoring System
COUPLING INSPECTION - T3299 - Top Extrusion Thickness Monitoring System
BEARING INSPECTION - T4250 - Winder Taping System (6 Heads)
COUPLING INSPECTION - T4250 - Winder Taping System (6 Heads)
BEARING INSPECTION - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)
COUPLING INSPECTION - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)"
T0001M1PDMM4,"BEARING INSPECTION - T1030 - Resin Receiver
COUPLING INSPECTION - T1030 - Resin Receiver
BEARING INSPECTION - T1053 - Resin Silo 1
COUPLING INSPECTION - T1053 - Resin Silo 1
BEARING INSPECTION - T1056 - Resin Silo 2
COUPLING INSPECTION - T1056 - Resin Silo 2
BEARING INSPECTION - T3227 - Bottom Extrusion Thickness Monitoring System
COUPLING INSPECTION - T3227 - Bottom Extrusion Thickness Monitoring System
BEARING INSPECTION - T3299 - Top Extrusion Thickness Monitoring System
COUPLING INSPECTION - T3299 - Top Extrusion Thickness Monitoring System
BEARING INSPECTION - T4250 - Winder Taping System (6 Heads)
COUPLING INSPECTION - T4250 - Winder Taping System (6 Heads)
BEARING INSPECTION - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)
COUPLING INSPECTION - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)"
T0001M1PPMM,"Inspect Oil (Gearbox) - T1130 - Flame Retardant Silo
Inspect Oil(Gearbox) - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Oil(Gearbox) - T1565 - Top Weathering Package Bucket Elevator
Inspect Oil(Gearbox) - T1545 - Top Weathering Package Bulk Bag Loading System"
T0001M1PPMM1,GearBox Inspection
T0001M1PPMO,"Inspect Gland (Packing) - T1130 - Flame Retardant Silo
Inspect Gland(Packing) - T1545 - Top Weathering Package Bulk Bag Loading System"
T0001M3HKGE,FAN (MOTOR) INSPECTION
T0001M3HKGE1,FAN (MOTOR) INSPECTION
T0001M3PDME,Inspect Junction Box
T0001M3PDME1,JUNCTION BOX INSPECTION
T0001M3PDMM,"Motor Bearing Inspection - T2036 - Bottom Calender Roll 1 Heat Exchanger Pump
Pump Bearing Inspection - T2036 - Bottom Calender Roll 1 Heat Exchanger Pump
Motor Bearing Inspection - T2039 - Bottom Calender Roll 2 Heat Exchanger Pump
Pump Bearing Inspection - T2039 - Bottom Calender Roll 2 Heat Exchanger Pump
Motor Bearing Inspection - T2042 - Bottom Calender Rolls 3 and 4 Heat Exchanger Pump
Pump Bearing Inspection - T2042 - Bottom Calender Rolls 3 and 4 Heat Exchanger Pump
Motor Bearing Inspection - T2136 - Top Calender Roll 1 Heat Exchanger Pump
Pump Bearing Inspection - T2136 - Top Calender Roll 1 Heat Exchanger Pump
Motor Bearing Inspection - T2139 - Top Calender Roll 2 Heat Exchanger Pump
Pump Bearing Inspection - T2139 - Top Calender Roll 2 Heat Exchanger Pump
Motor Bearing Inspection - T2142 - Top Calender Rolls 3 and 4 Heat Exchanger Pump
Pump Bearing Inspection - T2142 - Top Calender Rolls 3 and 4 Heat Exchanger Pump
Motor Bearing Inspection - T2236 - Cooling Rolls 1 Heat Exchanger Pump
Pump Bearing Inspection - T2236 - Cooling Rolls 1 Heat Exchanger Pump
Motor Bearing Inspection - T2239 - Cooling Rolls 2 and 3 Heat Exchanger Pump
Pump Bearing Inspection - T2239 - Cooling Rolls 2 and 3 Heat Exchanger Pump
Motor Bearing Inspection - T2242 - Cooling Rolls 4 and 5 Heat Exchanger Pump
Pump Bearing Inspection - T2242 - Cooling Rolls 4 and 5 Heat Exchanger Pump
Motor Bearing Inspection - T2320 - Bottom/Top Extruder Barrels Heat Exchanger Pump
Pump Bearing Inspection - T2320 - Bottom/Top Extruder Barrels Heat Exchanger Pump"
T0001M3PDMM1,Impeller Inspection
T0001M3PDMM2,Pump Bearing
T0001M3PPME,"Inspect Fan (Motor) - T1020 - Resin Vacuum Blower (Rail to Receiver)
Inspect Junction Box - T1020 - Resin Vacuum Blower (Rail to Receiver)
Inspect Power Cable - T1020 - Resin Vacuum Blower (Rail to Receiver)
Inspect Fan (Motor) - T1030 - Resin Receiver
Inspect Junction Box - T1030 - Resin Receiver
Inspect Power Cable - T1030 - Resin Receiver
Inspect Fan (Motor) - T1033 - Resin Receiver Rotary Airlock
Inspect Junction Box - T1033 - Resin Receiver Rotary Airlock
Inspect Power Cable - T1033 - Resin Receiver Rotary Airlock
Inspect Fan (Motor) - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Junction Box - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Power Cable - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Fan (Motor) - T1053 - Resin Silo 1
Inspect Junction Box - T1053 - Resin Silo 1
Inspect Power Cable - T1053 - Resin Silo 1
Inspect Fan (Motor) - T1056 - Resin Silo 2
Inspect Junction Box - T1056 - Resin Silo 2
Inspect Power Cable - T1056 - Resin Silo 2
Inspect Fan (Motor) - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Junction Box - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Power Cable - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Fan (Motor) - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Junction Box - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Power Cable - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Fan (Motor) - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Junction Box - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Power Cable - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Fan (Motor) - T3299 - Top Extrusion Thickness Monitoring System
Inspect Junction Box - T3299 - Top Extrusion Thickness Monitoring System
Inspect Power Cable - T3299 - Top Extrusion Thickness Monitoring System
Inspect Fan (Motor) - T4250 - Winder Taping System (6 Heads)
Inspect Junction Box - T4250 - Winder Taping System (6 Heads)
Inspect Power Cable - T4250 - Winder Taping System (6 Heads)
Inspect Fan (Motor) - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)
Inspect Junction Box - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)
Inspect Power Cable - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)"
T0001M3PPME1,"Inspect Fan (Motor) - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Junction Box - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Power Cable - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Fan (Motor) - T1130 - Flame Retardant Silo
Inspect Junction Box - T1130 - Flame Retardant Silo
Inspect Power Cable - T1130 - Flame Retardant Silo
Inspect Fan (Motor) - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Junction Box - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Power Cable - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Fan (Motor) - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Junction Box - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Power Cable - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Fan (Motor) - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Junction Box - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Power Cable - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Fan (Motor) - T1565 - Top Weathering Package Bucket Elevator
Inspect Junction Box - T1565 - Top Weathering Package Bucket Elevator
Inspect Power Cable - T1565 - Top Weathering Package Bucket Elevator
Inspect Fan (Motor) - T1545 - Top Weathering Package Bulk Bag Loading System
Inspect Junction Box - T1545 - Top Weathering Package Bulk Bag Loading System
Inspect Power Cable - T1545 - Top Weathering Package Bulk Bag Loading System"
T0001M3PPME2,"Inspect Coupling - T1030 - Resin Receiver
Inspect Coupling - T1053 - Resin Silo 1
Inspect Coupling - T1056 - Resin Silo 2
Inspect Coupling - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Coupling - T3299 - Top Extrusion Thickness Monitoring System
Inspect Coupling - T4250 - Winder Taping System (6 Heads)
Inspect Coupling - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)
Resin Storage System Coupling Inspections - T2239 - Cooling Rolls 2 and 3 Heat Exchanger Pump
Complete All Child Work Orders - T2239 - Cooling Rolls 2 and 3 Heat Exchanger Pump
Resin Storage System Coupling Inspections - T2242 - Cooling Rolls 4 and 5 Heat Exchanger Pump
Complete All Child Work Orders - T2242 - Cooling Rolls 4 and 5 Heat Exchanger Pump
Resin Storage System Coupling Inspections - T2320 - Bottom/Top Extruder Barrels Heat Exchanger Pump
Complete All Child Work Orders - T2320 - Bottom/Top Extruder Barrels Heat Exchanger Pump
Resin Storage System Coupling Inspections - T3203 - Bottom Extruder Melt Pump
Complete All Child Work Orders - T3203 - Bottom Extruder Melt Pump
Resin Storage System Coupling Inspections - T3288 - Top Extruder Melt Pump
Complete All Child Work Orders - T3288 - Top Extruder Melt Pump"
T0001M3PPMM,Inspect Coupling
T0001M3PPMM1,"Inspect Bolt - T1020 - Resin Vacuum Blower (Rail to Receiver)
Inspect Coupling - T1020 - Resin Vacuum Blower (Rail to Receiver)
Inspect Bolt - T1030 - Resin Receiver
Inspect Coupling - T1030 - Resin Receiver
Inspect Bolt - T1033 - Resin Receiver Rotary Airlock
Inspect Coupling - T1033 - Resin Receiver Rotary Airlock
Inspect Bolt - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Coupling - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Bolt - T1053 - Resin Silo 1
Inspect Coupling - T1053 - Resin Silo 1
Inspect Bolt - T1056 - Resin Silo 2
Inspect Coupling - T1056 - Resin Silo 2
Inspect Bolt - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Coupling - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Bolt - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Coupling - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Bolt - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Coupling - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Bolt - T3299 - Top Extrusion Thickness Monitoring System
Inspect Coupling - T3299 - Top Extrusion Thickness Monitoring System
Inspect Bolt - T4250 - Winder Taping System (6 Heads)
Inspect Coupling - T4250 - Winder Taping System (6 Heads)
Inspect Bolt - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)
Inspect Coupling - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)"
T0001M3PPMM3,"Inspect Bolt - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Coupling - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Bolt - T1130 - Flame Retardant Silo
Inspect Coupling - T1130 - Flame Retardant Silo
Inspect Bolt - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Coupling - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Bolt - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Coupling - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Bolt - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Coupling - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Bolt - T1565 - Top Weathering Package Bucket Elevator
Inspect Coupling - T1565 - Top Weathering Package Bucket Elevator
Inspect Bolt - T1545 - Top Weathering Package Bulk Bag Loading System
Inspect Coupling - T1545 - Top Weathering Package Bulk Bag Loading System"
T0001M3PPMO,Inspect Bolt
T0001M3PPMO1,"Inspect Bolt - T1030 - Resin Receiver
Inspect Guard - T1030 - Resin Receiver
Inspect Bolt - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Guard - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Bolt - T3299 - Top Extrusion Thickness Monitoring System
Inspect Guard - T3299 - Top Extrusion Thickness Monitoring System"
T0001M6HKGO,SCREW INSPECTION
T0001M6PPMO,Inspect Frame
T0001Y1LUBM,OIL (GEARBOX) INSPECTION
T0001Y1LUBM1,Inspect GearBox
T0001Y1PPME,"Inspect Encoder - T1020 - Resin Vacuum Blower (Rail to Receiver)
Inspect Winding(AC) - T1020 - Resin Vacuum Blower (Rail to Receiver)
Inspect Encoder - T1030 - Resin Receiver
Inspect Winding(AC) - T1030 - Resin Receiver
Inspect Encoder - T1033 - Resin Receiver Rotary Airlock
Inspect Winding(AC) - T1033 - Resin Receiver Rotary Airlock
Inspect Encoder - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Winding(AC) - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Encoder - T1053 - Resin Silo 1
Inspect Winding(AC) - T1053 - Resin Silo 1
Inspect Encoder - T1056 - Resin Silo 2
Inspect Winding(AC) - T1056 - Resin Silo 2
Inspect Encoder - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Winding(AC) - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Encoder - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Winding(AC) - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Encoder - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Winding(AC) - T3227 - Bottom Extrusion Thickness Monitoring System
Inspect Encoder - T3299 - Top Extrusion Thickness Monitoring System
Inspect Winding(AC) - T3299 - Top Extrusion Thickness Monitoring System
Inspect Encoder - T4250 - Winder Taping System (6 Heads)
Inspect Winding(AC) - T4250 - Winder Taping System (6 Heads)
Inspect Encoder - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)
Inspect Winding(AC) - T4404 - Single Roll Belt Conveyor 1 (with Reject Mechanism)"
T0001Y1PPME1,"Inspect Encoder - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Winding(AC) - T1120 - Flame Retardant Pressure Blower (Rail to Silo)
Inspect Encoder - T1130 - Flame Retardant Silo
Inspect Winding (AC) - T1130 - Flame Retardant Silo
Inspect Encoder - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Winding(AC) - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Encoder - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Winding(AC) - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Encoder - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Winding(AC) - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Encoder - T1565 - Top Weathering Package Bucket Elevator
Inspect Winding(AC) - T1565 - Top Weathering Package Bucket Elevator
Inspect Encoder - T1545 - Top Weathering Package Bulk Bag Loading System
Inspect Winding(AC) - T1545 - Top Weathering Package Bulk Bag Loading System"
T0001Y1PPMM,"Inspect Oil (Gearbox) - T1130 - Flame Retardant Silo
Inspect Oil(Gearbox) - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Oil(Gearbox) - T1545 - Top Weathering Package Bulk Bag Loading System"
T0001Y1PPMM1,Resin Storage System Gearbox Inspections
T1000M1LUBM,BEARING INSPECTION
T1000M1PDMM,BEARING INSPECTION
T1000M1PDMM1,"BEARING INSPECTION - T1030 - Resin Receiver
SCREW INSPECTION - T1030 - Resin Receiver
BEARING INSPECTION - T1053 - Resin Silo 1
SCREW INSPECTION - T1053 - Resin Silo 1
BEARING INSPECTION - T1056 - Resin Silo 2
SCREW INSPECTION - T1056 - Resin Silo 2"
T1000M1PDMM4,"REGULATOR (PNEUMATIC) INSPECTION - T1053 - Resin Silo 1
VALVE (PNEUMATIC) INVESTIGATION - T1053 - Resin Silo 1
REGULATOR (PNEUMATIC) INSPECTION - T1056 - Resin Silo 2
VALVE (PNEUMATIC) INVESTIGATION - T1056 - Resin Silo 2"
T1000M1PPMM,Inspect Packing Gland
T1000M2HKGO,BELT (V) INSPECTION
T1000M3LUBM,LOBE INSPECTION
T1000M3PPMM,"Inspect Hose(Pneumatic) - T1053 - Resin Silo 1
Inspect Regulator(Pneumatic) - T1053 - Resin Silo 1
Inspect Hose(Pneumatic) - T1056 - Resin Silo 2
Inspect Regulator(Pneumatic) - T1056 - Resin Silo 2"
T1000M3PPMM2,"Inspect Belt(V) - T1043 - Resin Pressure Blower (Receiver to Silos)
Inspect Belt(V) - T1066 - Bottom Resin Vacuum Blower (Silos to Feeders)
Inspect Belt(V) - T1076 - Top Resin Vacuum Blower (Silos to Feeders)
Inspect Belt (V) - T1020 - Resin Vacuum Blower (Rail to Receiver)"
T1000M3PPMO,Inspect Bolt
T1000M6HKGO,SCREW INSPECTION
T1000M6PDMM,PIPE (PNEUMATIC) INSPECTION
T1000M6PPMM,FILTER (AIR CARTRIDGE) INSPECTION
T1000W1PPMM,AIR NOZZLE INSPECTION
T1000Y1HKGM,PULSE PIPE INSPECTION
T1000Y1PPMM,LUBRICANT INSPECTION
T1000Y1PPMM1,Inspect Silo
T1000Y1PPMM2,Inspect Valve(Pressure Relief)
T1100M1LUBM,Inspect Bearing
T1100M1LUBM1,Inspect Chain
T1100M1PDMM,Inspect Bearing
T1100M3PDMM,"Inspect Chain - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Sprocket - T1133 - Flame Retardant Silo Rotary Airlock (Bottom)
Inspect Chain - T1136 - Flame Retardant Silo Rotary Airlock (Top)
Inspect Sprocket - T1136 - Flame Retardant Silo Rotary Airlock (Top)"
T1100M3PPMO,Inspect Bolt
T1500M1LUBM,Inspect Bearing
T1500M1PDMM,"Inspect Bearing - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Belt(Conveyor) - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Bearing - T1565 - Top Weathering Package Bucket Elevator
Inspect Belt(Conveyor) - T1565 - Top Weathering Package Bucket Elevator"
T1500M3HKGM,ELEVATOR BELT INSPECTION
T1500M3PPMM1,"Inspect Bolt - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Bucket - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Bolt - T1565 - Top Weathering Package Bucket Elevator
Inspect Bucket - T1565 - Top Weathering Package Bucket Elevator"
T1500Y1HKGM,TRAY INSPECTION
T1500Y1PPMM1,"Inspect Elevator Belt - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Elevator Body - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Elevator Head - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Tray - T1525 - Bottom Weathering Package Bucket Elevator
Inspect Elevator Belt - T1565 - Top Weathering Package Bucket Elevator
Inspect Elevator Body - T1565 - Top Weathering Package Bucket Elevator
Inspect Elevator Head - T1565 - Top Weathering Package Bucket Elevator
Inspect Tray - T1565 - Top Weathering Package Bucket Elevator"
T1545M3HKGO,CHUTE INSPECTION
T2000M1LUBM,"Motor Bearing Inspection - T2036 - Bottom Calender Roll 1 Heat Exchanger Pump
Pump Bearing Inspection - T2036 - Bottom Calender Roll 1 Heat Exchanger Pump
Motor Bearing Inspection - T2039 - Bottom Calender Roll 2 Heat Exchanger Pump
Pump Bearing Inspection - T2039 - Bottom Calender Roll 2 Heat Exchanger Pump
Motor Bearing Inspection - T2042 - Bottom Calender Rolls 3 and 4 Heat Exchanger Pump
Pump Bearing Inspection - T2042 - Bottom Calender Rolls 3 and 4 Heat Exchanger Pump
Motor Bearing Inspection - T2136 - Top Calender Roll 1 Heat Exchanger Pump
Pump Bearing Inspection - T2136 - Top Calender Roll 1 Heat Exchanger Pump
Motor Bearing Inspection - T2139 - Top Calender Roll 2 Heat Exchanger Pump
Pump Bearing Inspection - T2139 - Top Calender Roll 2 Heat Exchanger Pump
Motor Bearing Inspection - T2142 - Top Calender Rolls 3 and 4 Heat Exchanger Pump
Pump Bearing Inspection - T2142 - Top Calender Rolls 3 and 4 Heat Exchanger Pump
Motor Bearing Inspection - T2236 - Cooling Rolls 1 Heat Exchanger Pump
Pump Bearing Inspection - T2236 - Cooling Rolls 1 Heat Exchanger Pump
Motor Bearing Inspection - T2239 - Cooling Rolls 2 and 3 Heat Exchanger Pump
Pump Bearing Inspection - T2239 - Cooling Rolls 2 and 3 Heat Exchanger Pump
Motor Bearing Inspection - T2242 - Cooling Rolls 4 and 5 Heat Exchanger Pump
Pump Bearing Inspection - T2242 - Cooling Rolls 4 and 5 Heat Exchanger Pump
Motor Bearing Inspection - T2320 - Bottom/Top Extruder Barrels Heat Exchanger Pump
Pump Bearing Inspection - T2320 - Bottom/Top Extruder Barrels Heat Exchanger Pump
Motor Bearing Inspection - T3288 - Top Extruder Melt Pump
Pump Bearing Inspection - T3288 - Top Extruder Melt Pump"
T3000M1HKGM,SENSOR INSPECTION
T3000M1HKGM1,LINEAR DRIVE INSPECTION
T3000M1HKGM2,PRINTER (LABEL) INSPECTION
T3000M1HKGO,Sensor Inspection
T3000M1LUBM,Inspect Bearing
T3000M1LUBM1,Inspect Bearing
T3000M1LUBM10,CHAIN/SPROCKET INSPECTION
T3000M1LUBM11,Bearing Inspection
T3000M1LUBM12,BEARING INSPECTION
T3000M1LUBM2,CYLINDER (AIR) INSPECTION
T3000M1LUBM3,BEARING INSPECTION
T3000M1LUBM4,BEARING INSPECTION
T3000M1LUBM5,CYLINDER (AIR) INSPECTION
T3000M1LUBM6,CYLINDER (AIR) INSPECTION
T3000M1LUBM7,BEARING INSPECTION
T3000M1LUBM8,LINEAR DRIVE INSPECTION
T3000M1LUBM9,BEARING INSPECTION
T3000M1PDME,WINDING (AC) INSPECTION
T3000M1PDMM,"CYLINDER (AIR) INSPECTION - T4250 - Winder Taping System (6 Heads)
REGULATOR (PNEUMATIC) INSPECTION - T4250 - Winder Taping System (6 Heads)
VALVE (PNEUMATIC) INSPECTION - T4250 - Winder Taping System (6 Heads)"
